trade_id,timestamp,symbol,action,quantity,price,value,realized_pnl,realized_pnl_pct,is_winner,is_loser,portfolio_value_before,portfolio_value_after
227,2020-02-05 00:00:00+00:00,VET,BUY,7548.686212654021,0.006506999954581261,49.1193008428879,,,,,120840.25008993664,120479.45155538568
228,2020-02-05 00:00:00+00:00,XLM,BUY,35.73196380778466,0.06873299926519394,2.4559650421443995,,,,,120840.25008993664,120479.45155538568
229,2020-02-05 05:00:00+00:00,NFLX,SELL,265.6598092548757,36.96699905395508,9820.645917398877,898.9924945486218,10.076523396953647,True,False,121733.44160346355,121378.4440499343
230,2020-02-05 05:00:00+00:00,TSLA,SELL,154.08249207733644,48.97999954223633,7546.960391414572,-1565.0672391298303,-17.175839479278714,False,True,121733.44160346355,119813.37681080449
231,2020-02-05 05:00:00+00:00,TTE,BUY,280.8611031570631,34.674346923828125,9738.675328277084,,,,,121733.44160346355,119813.37681080448
232,2020-02-05 05:00:00+00:00,UBER,BUY,196.89233793456063,36.810001373291016,7247.607229761656,,,,,121733.44160346355,119813.37681080448
233,2020-02-05 06:00:00+00:00,VIX,BUY,23.919496410075716,15.149999618530273,362.38036148808334,,,,,119813.37681080448,119813.37681080448
234,2020-02-06 00:00:00+00:00,ALGO,BUY,63.19257470140358,0.28672701120376587,18.119018074404156,,,,,122016.49505138047,119813.37681080448
235,2020-02-06 00:00:00+00:00,DOGE,SELL,2.4444758087168172,0.002652999944984913,0.006485194186042666,0.000726009151893252,12.60610915586736,True,False,122016.49505138047,119813.37753681364
236,2020-02-06 00:00:00+00:00,FIL,SELL,1905.4505318433005,5.4530110359191895,10390.442778539607,1671.0444052202802,19.16467551630104,True,False,122016.49505138047,121484.42194203392
237,2020-02-06 00:00:00+00:00,TRX,BUY,433162.6184006899,0.02253499999642372,9761.319604110437,,,,,122016.49505138047,121484.42194203392
238,2020-02-06 00:00:00+00:00,UNI,SELL,303956.0761560658,0.002991999965161085,909.436569269449,-72.94944758831139,-7.4257416470203825,False,True,122016.49505138047,121411.47249444561
239,2020-02-06 05:00:00+00:00,MSFT,BUY,8.407542035072938,173.9561767578125,1462.5438683518867,,,,,123460.51845312768,121411.47249444561
240,2020-02-07 00:00:00+00:00,ATOM,SELL,446.3877832930842,4.810633182525635,2147.4078825837732,216.40256292370805,11.206730541881864,True,False,121831.89549274129,121627.87505736931
241,2020-02-07 00:00:00+00:00,BTC,BUY,0.21571834425214584,9795.943359375,2113.1646818721783,,,,,121831.89549274129,121627.87505736931
242,2020-02-07 00:00:00+00:00,DOGE,BUY,38157.5435269012,0.002768999896943569,105.65823409360918,,,,,121831.89549274129,121627.87505736931
243,2020-02-07 00:00:00+00:00,ETH,BUY,0.02371932466883081,222.72605895996094,5.282911704680467,,,,,121831.89549274129,121627.87505736931
244,2020-02-07 00:00:00+00:00,FIL,BUY,0.06383539896210397,4.1379170417785645,0.2641455852340237,,,,,121831.89549274129,121627.87505736931
245,2020-02-07 00:00:00+00:00,LINK,SELL,7.272848564040433,3.3085319995880127,24.0624522022855,3.525447685915797,17.166318890886554,True,False,121831.89549274129,121631.40050505522
246,2020-02-07 00:00:00+00:00,MATIC,BUY,996.1038520721194,0.022962000221014023,22.872536871432924,,,,,121831.89549274129,121631.40050505522
247,2020-02-07 00:00:00+00:00,UNI,BUY,432.7002646911621,0.002643000101670623,1.1436268435716468,,,,,121831.89549274129,121631.40050505521
