trade_id,timestamp,symbol,action,quantity,price,value,realized_pnl,realized_pnl_pct,is_winner,is_loser,harmony_score,dominant_planet,fire_decision,ether_decision,portfolio_value_before,portfolio_value_after
2475,2023-08-03 00:00:00+00:00,FIL,SELL,0.00692,4.106633186340332,0.028417901649475098,-0.0016858564376831045,-5.600152754357486,False,True,0.685,|,APPROVE,EXECUTE,102908.20255090752,102909.3668412139
2476,2023-08-03 00:00:00+00:00,DOT,SELL,0.7318,4.9790191650390625,3.643646224975586,-0.2399411191940306,-6.178337138580167,False,True,0.73,|,APPROVE,EXECUTE,102908.20255090752,102909.12690009469
2477,2023-08-04 00:00:00+00:00,XRP,BUY,7.199999999999999,0.6355389952659607,4.575880765914916,,,,,0.72,|,APPROVE,EXECUTE,102908.08317516999,102909.12690009469
2478,2023-08-04 00:00:00+00:00,AVAX,BUY,0.0076,12.397878646850586,0.09422387771606446,,,,,0.76,|,APPROVE,EXECUTE,102908.08317516999,102909.12690009469
2479,2023-08-04 04:00:00+00:00,AAPL,SELL,7.021999999999999,179.6392822265625,1261.4270397949217,-68.9664847106933,-5.183916145136214,False,True,0.7474,|,APPROVE,EXECUTE,102701.37537522441,102840.16041538399
2480,2023-08-06 00:00:00+00:00,ADA,SELL,7.318,0.2920820116996765,2.137456161618233,-0.11301185363531108,-5.021704501877973,False,True,0.73,|,APPROVE,EXECUTE,102838.99441460887,102840.04740353036
2481,2023-08-06 00:00:00+00:00,VET,SELL,0.00745,0.017700999975204468,0.00013187244981527327,-7.1296435780823255e-06,-5.129162737072223,False,True,0.73,|,APPROVE,EXECUTE,102838.99441460887,102840.04739640073
2482,2023-08-07 00:00:00+00:00,XLM,BUY,0.007050000000000001,0.14297699928283691,0.0010079878449440003,,,,,0.7050000000000001,|,APPROVE,EXECUTE,102839.07890285774,102840.04739640073
2483,2023-08-07 00:00:00+00:00,BTC,SELL,0.0007021999999999999,29180.578125,20.490601959375,-0.5117351074218739,-2.4365626824973154,False,True,0.705,|,APPROVE,EXECUTE,102839.07890285774,102839.53566129331
2484,2023-08-07 04:00:00+00:00,VTI,BUY,7.186,217.2286834716797,1561.0053194274901,,,,,0.7186,|,APPROVE,EXECUTE,102761.48855165193,102839.53566129331
2485,2023-08-07 04:00:00+00:00,ADBE,BUY,6.696,529.72998046875,3547.07194921875,,,,,0.6696,|,APPROVE,EXECUTE,102761.48855165193,102839.53566129331
2486,2023-08-07 04:00:00+00:00,IWM,BUY,7.0440000000000005,188.32766723632812,1326.5800880126953,,,,,0.7044,|,APPROVE,EXECUTE,102761.48855165193,102839.53566129331
2487,2023-08-07 04:00:00+00:00,NVDA,BUY,7.22,45.38397979736328,327.6723341369629,,,,,0.722,|,APPROVE,EXECUTE,102761.48855165193,102839.53566129331
2488,2023-08-07 04:00:00+00:00,SPY,BUY,7.196,436.5209045410156,3141.2044290771482,,,,,0.7196,|,APPROVE,EXECUTE,102761.48855165193,102839.53566129331
2489,2023-08-08 00:00:00+00:00,DOGE,BUY,0.007308,0.07498600333929062,0.0005479977124035358,,,,,0.7308,|,APPROVE,EXECUTE,102839.42990400731,102839.53566129331
2490,2023-08-08 04:00:00+00:00,META,BUY,7.042,310.4712829589844,2186.3387745971677,,,,,0.7041999999999999,|,APPROVE,EXECUTE,102594.65240485659,102839.53566129331
2491,2023-08-08 04:00:00+00:00,CRM,SELL,6.822,209.04010009765625,1426.071562866211,-85.53201168823239,-5.658362624171724,False,True,0.7646000000000001,|,APPROVE,EXECUTE,102594.65240485659,102754.00364960507
2492,2023-08-09 00:00:00+00:00,LINK,BUY,0.765,7.694713115692139,5.886455533504487,,,,,0.765,|,APPROVE,EXECUTE,102753.8937062756,102754.00364960507
2493,2023-08-09 00:00:00+00:00,SOL,BUY,0.0745,24.37852668762207,1.8162002382278442,,,,,0.745,|,APPROVE,EXECUTE,102753.8937062756,102754.00364960507
2494,2023-08-09 04:00:00+00:00,CRM,BUY,7.6419999999999995,203.38877868652344,1554.297046722412,,,,,0.7642,|,APPROVE,EXECUTE,102410.72334096125,102754.00364960507
