trade_id,timestamp,symbol,action,quantity,price,value,realized_pnl,realized_pnl_pct,is_winner,is_loser,harmony_score,dominant_planet,fire_decision,ether_decision,portfolio_value_before,portfolio_value_after
1207,2021-09-08 22:00:00+00:00,ROG,SELL,5.42686567164179,303.7563781738281,1648.4450612537892,-88.81706269677011,-5.1124733264085,False,True,0.524776119402985,SATURN's,APPROVE,EXECUTE,103416.42111777508,103412.1417556289
1208,2021-09-09 00:00:00+00:00,AVAX,BUY,0.0022612298507462686,40.772613525390625,0.09219625079655433,,,,,0.4486567164179104,SATURN's,APPROVE,EXECUTE,103412.1417556289,103412.1417556289
1209,2021-09-10 00:00:00+00:00,AVAX,SELL,0.0022612298507462686,49.18913650512695,0.11122794379782605,0.01903169300127172,20.64258886542813,True,False,0.4889552238805969,SATURN's,APPROVE,EXECUTE,103412.16078732189,103412.16078732189
1210,2021-09-11 00:00:00+00:00,ADA,BUY,3.014328358208955,2.6339499950408936,7.939590164156101,,,,,0.5023880597014925,SATURN's,APPROVE,EXECUTE,103412.16078732189,103412.16078732189
1211,2021-09-12 00:00:00+00:00,UNI,BUY,0.0023514985074626865,0.00018400000408291817,4.326757349741103e-07,,,,,0.46656716417910443,SATURN's,APPROVE,EXECUTE,103412.00337015107,103412.16078732189
1212,2021-09-13 00:00:00+00:00,ADA,SELL,3.014328358208955,2.400662899017334,7.23638625500807,-0.7032039091480309,-8.856929572041384,False,True,0.4844776119402984,SATURN's,APPROVE,EXECUTE,103411.45758340335,103411.45758341275
1213,2021-09-13 04:00:00+00:00,COIN,SELL,0.005426865671641789,242.83999633789062,1.3178600398277165,-0.08834936650973635,-6.282802981658825,False,True,0.4844776119402984,SATURN's,APPROVE,EXECUTE,103531.7604207393,103411.36923404623
1214,2021-09-13 04:00:00+00:00,ROKU,SELL,0.0037461492537313426,322.82000732421875,1.2093319295271687,-0.07690843960616833,-5.979320930347481,False,True,0.4844776119402984,SATURN's,APPROVE,EXECUTE,103531.7604207393,103411.29232560661
1215,2021-09-14 00:00:00+00:00,ETH,BUY,0.005426865671641789,3429.169677734375,18.60964320633162,,,,,0.542686567164179,SATURN's,APPROVE,EXECUTE,103411.29232561603,103411.29232560661
1216,2021-09-14 04:00:00+00:00,MSFT,BUY,5.42686567164179,288.88262939453125,1567.727224594799,,,,,0.542686567164179,SATURN's,APPROVE,EXECUTE,103518.9944935331,103411.29232560661
1217,2021-09-15 00:00:00+00:00,BTC,BUY,0.0005426865671641789,48176.34765625,26.14465672807835,,,,,0.542686567164179,SATURN's,APPROVE,EXECUTE,103412.3023365314,103411.29232560661
1218,2021-09-15 00:00:00+00:00,MATIC,BUY,0.003014328358208955,1.4163730144500732,0.004269413343258758,,,,,0.5023880597014925,SATURN's,APPROVE,EXECUTE,103412.3023365314,103411.29232560661
1219,2021-09-15 00:00:00+00:00,UNI,SELL,0.0023514985074626865,0.00038499999209307134,9.053269067800033e-07,4.7265117180589303e-07,109.23912149457023,True,False,0.43074626865671634,SATURN's,APPROVE,EXECUTE,103412.3023365314,103411.29232607927
