trade_id,timestamp,symbol,action,quantity,price,value,realized_pnl,realized_pnl_pct,is_winner,is_loser,harmony_score,dominant_planet,fire_decision,ether_decision,portfolio_value_before,portfolio_value_after
8797,2024-12-09 05:00:00+00:00,ROKU,BUY,28.284312351230405,84.12000274658203,2379.2764326706856,,,,,0.6217499999999999,SUN,APPROVE,EXECUTE,1913370.673639474,1912975.1742899623
8798,2024-12-09 06:00:00+00:00,VIX,SELL,115.36090002314273,14.1899995803833,1636.9711229210352,163.81237681747325,11.119804790267821,True,False,0.5046940224573734,SUN,APPROVE,EXECUTE,1913138.9866667797,1913138.9866667797
8799,2024-12-10 00:00:00+00:00,TRX,BUY,6317.638147392638,0.2699579894542694,1705.4968923697118,,,,,0.6366999999999999,SUN,APPROVE,EXECUTE,1913321.9192372637,1913138.9866667797
8800,2024-12-10 05:00:00+00:00,ORCL,SELL,14.383829551436307,175.5255584716797,2524.7297149773076,-148.4385925632846,-5.552908589577484,False,True,0.6985,SUN,APPROVE,EXECUTE,1913251.8855699457,1912990.5480742163
8801,2024-12-10 05:00:00+00:00,GOOGL,SELL,15.455994176466133,184.44760131835938,2850.8210518397095,272.68735819392714,10.576928530355435,True,False,0.6365000000000001,SUN,APPROVE,EXECUTE,1913251.8855699457,1913263.2354324104
8802,2024-12-11 05:00:00+00:00,ROKU,SELL,28.284312351230405,82.41999816894531,2331.1929721982874,-48.0834604723982,-2.0209278674872415,False,True,0.60225,SUN,APPROVE,EXECUTE,1913501.448967722,1913215.151971938
8803,2024-12-11 05:00:00+00:00,ORCL,BUY,14.702120762872982,176.35513305664062,2592.7944633512634,,,,,0.6775,SUN,APPROVE,EXECUTE,1913501.448967722,1913215.151971938
8804,2024-12-11 06:00:00+00:00,VIX,BUY,123.52409685373267,13.579999923706055,1677.457225849549,,,,,0.608870805818025,SUN,APPROVE,EXECUTE,1913215.151971938,1913215.151971938
8805,2024-12-12 00:00:00+00:00,TRX,SELL,6317.638147392638,0.2972260117530823,1877.766390248645,172.26949787893318,10.100839154246268,True,False,0.6366999999999999,SUN,APPROVE,EXECUTE,1913796.854122977,1913387.421469817
8806,2024-12-12 05:00:00+00:00,ADBE,BUY,5.531130149262512,474.6300048828125,2625.240329751937,,,,,0.6859306152460644,SUN,APPROVE,EXECUTE,1913634.0260961987,1913387.421469817
8807,2024-12-13 00:00:00+00:00,TRX,BUY,8707.749498129278,0.29065901041030884,2530.9858520271196,,,,,0.6612,SUN,APPROVE,EXECUTE,1913933.64490859,1913387.421469817
8808,2024-12-13 05:00:00+00:00,SHEL,BUY,41.39463255644201,60.43828201293945,2501.820476268247,,,,,0.6538,SUN,APPROVE,EXECUTE,1913291.8906915318,1913387.421469817
